Timestamp,Name,Discord ID,Twitter ID,Place of Origin,Message,Message (Native),Your Message in Native Language (with Translator to English) / 母国語でのメッセージ (機械翻訳した英語),Direct Link to your art (Artbook) / アート集へのリンク,Direct link to your art (Video Collage) / ビデオコラージュへのリンク,art
7/23/2021 21:34:50,Aron,atag#5378,@d_tlol,United States of America,"Thank you for all your hard work, Aqua. I will always support you, and I am proud to be your fan.",,,,,
7/23/2021 21:40:17,zodkc,zodkc#3840,,Philippines,フィリピンから、おめでとう！！おうえんしますぜ！いつもの配信、ありがとう！^_^,,,,,
7/23/2021 21:54:47,Lacheln,HIYUKI#0151,@Flugellacheln,Singapore,"Congratulations on your 3rd Anniversary, Akutan! Akutan have been very busy and worked extremely hard this year, and have shined very brightly as an idol! I will always support you! Tomarun ja ne zo!",,,,,
7/23/2021 21:55:06,Scr,Screen#0445,@IScr33nI,Poland,"Hi Aqua! I'm really pleasured that I can write a message to you. With my whole heart, I want to congrate you and wish everything good. Thank you for being with us ❤️",,,,,
7/23/2021 22:04:24,Rakuen,Rakuen#4723,@PrimeRakuen,United States of America,Congratulations on reaching your 3rd anniversary! You've grown so much in such a short time! It's amazing! I hope our Super Idol Gamer Nekomimi Maid will have another great year!,,,,,
7/23/2021 22:33:57,Peter Rowlet,Peter Rowlet#7777,@RowletPeter,Myanmar (Burma),"Konaqua, Thanks you being with me for 2 year and it was really fun you know. That why I thanks you again for all of your hardwork and effort, Let do our best again next year again. We love you Ｏ(≧∇≦)Ｏ",,,,,
7/23/2021 23:18:17,Cometeor,cometeor#0819,@Cometeor,United States of America,"3周年おめでとう！Happy 3rd anniversary, Aqua! You will always be the #1 gamer idol maid in the universe!",,,,,
7/24/2021 0:26:08,Motomi UwU,Vợ tui tên Aqua UwU #2004,,Vietnam,,SIMP Aqua chưa bao giờ sai UwU,SIMP for Aua is never wrong UwU,,,
7/24/2021 3:20:45,Jakklin,JakkJakk#0945,@NeyJacqueline,Australia,Congratulations Aqua! I love your singing and dancing! Do your best!,,,,,
7/25/2021 5:11:57,Snooze,m-#0666,@Zwexya,United States of America,おめでとうございます。Aquaに感謝します。大変な状況でしたが、私の人生に大きな喜びをもたらしました。今後も成功と幸運をお祈りします!!!!!,,,,,
7/28/2021 6:49:53,cnx,cnx#0891,@CNX83181794,Vietnam,(DeepL EN->JP翻訳) ストリーミングをしてくれてありがとうございます。 私は日本語を知りませんが、あなたはとてもかわいくて面白いです。これからも楽しいことを続けてください。,,,,,
7/29/2021 0:16:21,Rei,Rei#9352,,Vietnam,"Happy 3rd Anniversary, Super Idol Gamer Maid! Watching you doing your best always bring me joy! I will always support you, all I ask for is for you to stay happy and healthy no matter what 🥺",,,,,
7/30/2021 16:10:59,gikaqi(ぎかき),gikaqi#7019,@gikaqi,China,あくあちゃん3周年おめでとうございます！！いつも楽しい時間を本当にありがとう！3年間、素敵な思い出がいっぱい、いっぱい！！いろいろな試練もあったけど、たくさんの苦労を乗り越えてたくさん辛抱して今ここにいるあくあちゃんが本当に輝いています！心の底から尊敬しています！今も昔も、あくあちゃんは私の自慢の推しです！四年目も楽しくお過ご下さいね。ずっと応援しています！ずっとずっと大好き！,,,,,
7/31/2021 5:10:35,Jonah/ジョナ,"Macro Man#6447 ",@MonitorMan6,United States of America,素晴らしい結婚記念日アクアと3年おめでとうございます！,,,,,
7/31/2021 16:35:00,みらいのおわり,mirai_owari(みらい_おわり)[未末弦]#3581,@colainc728,Taiwan,3th congratulations!!!!!!,恭喜妳三週年!!!!!!,3th congratulations!!!!!,n,n,
7/31/2021 16:46:12,Lumin,Luluminn#2293,@Lumin09848864,Taiwan,"あくたん3周年おめてと！！！海外のファンとして、これからもずっと君の事を応援します,大好きですよ ",,,,,
